theIndex,GeocoderAddress,GeocoderCountry,GeocoderState,GeocoderCity,GeocoderX,GeocoderY,CityCountyScale,Url,Date
25633,"Wisconsin, United States",United States,Wisconsin,,-89.6884637,44.4308975,False,http://twitter.com/PlantDiagnostic/statuses/1029311915598721026,2018-08-14 10:20:59
25650,"Illinois, United States",United States,Illinois,,-89.4337288,40.0796606,False,http://twitter.com/SpartySpudNBeet/statuses/1029097073663246337,2018-08-13 20:07:16
25650,"Wisconsin, United States",United States,Wisconsin,,-89.6884637,44.4308975,False,http://twitter.com/SpartySpudNBeet/statuses/1029097073663246337,2018-08-13 20:07:16
26552,"Ottertail, Otter Tail County, Minnesota, 56571, United States",United States,Minnesota,,-95.5572643,46.425516,True,http://twitter.com/PotatoesCanada/statuses/1022593809916612610,2018-07-26 21:25:37
26577,"Becker County, Minnesota, United States",United States,Minnesota,,-95.6761851,46.9298236,True,http://twitter.com/MichaelVipond/statuses/1022116004112093185,2018-07-25 13:47:00
26606,"Ottertail, Otter Tail County, Minnesota, 56571, United States",United States,Minnesota,,-95.5572643,46.425516,True,http://twitter.com/ajanegevens/statuses/1021566172041494529,2018-07-24 01:22:09
26611,"Ottertail, Otter Tail County, Minnesota, 56571, United States",United States,Minnesota,,-95.5572643,46.425516,True,http://twitter.com/spudology/statuses/1021517077109243904,2018-07-23 22:07:04
26611,"Minnesota, United States",United States,Minnesota,,-94.6113288,45.9896587,False,http://twitter.com/spudology/statuses/1021517077109243904,2018-07-23 22:07:04
27265,"Onondaga County, New York, United States",United States,New York,,-76.2257127,43.015598,True,http://twitter.com/suetheplantlady/statuses/1009858064302911488,2018-06-21 17:58:19
27302,United Kingdom,United Kingdom,,,-3.2765753,54.7023545,False,http://twitter.com/hortidaily/statuses/1009330004830777344,2018-06-20 07:00:00
27359,"New York, United States",United States,New York,,-75.8449946,43.1561681,False,http://twitter.com/CornellCALS/statuses/1008832074328002560,2018-06-18 22:01:24
27360,"New York, United States",United States,New York,,-75.8449946,43.1561681,False,http://twitter.com/nyagandmarkets/statuses/1008811444350193665,2018-06-18 20:39:25
27405,"Onondaga County, New York, United States",United States,New York,,-76.2257127,43.015598,True,http://twitter.com/ChristineSmart6/statuses/1007754941061091328,2018-06-15 22:41:15
27414,"New York, United States",United States,New York,,-75.8449946,43.1561681,False,http://twitter.com/CherylTrueman/statuses/1007720433339154432,2018-06-15 20:24:08
27519,United Kingdom,United Kingdom,,,-3.2765753,54.7023545,False,http://twitter.com/CHMMNews/statuses/1006346817989062656,2018-06-12 01:25:53
27521,United Kingdom,United Kingdom,,,-3.2765753,54.7023545,False,http://twitter.com/ProMED_mail/statuses/1006319940000010240,2018-06-11 23:39:04
27609,United Kingdom,United Kingdom,,,-3.2765753,54.7023545,False,http://twitter.com/HortiBiz/statuses/1004882662094352384,2018-06-08 00:27:51
27636,United Kingdom,United Kingdom,,,-3.2765753,54.7023545,False,http://twitter.com/2blades/statuses/1004496918888804352,2018-06-06 22:55:02
28564,Ōu,,,,10.0,51.0,False,http://twitter.com/AUSVEG/statuses/988311761882439680,2018-04-23 07:01:00
28564,India,India,,,78.6677428,22.3511148,False,http://twitter.com/AUSVEG/statuses/988311761882439680,2018-04-23 07:01:00
28608,India,India,,,78.6677428,22.3511148,False,http://twitter.com/ProMED_mail/statuses/986778640011681792,2018-04-19 01:28:55
29079,India,India,,,78.6677428,22.3511148,False,http://twitter.com/SACHIIINN/statuses/979543583899508737,2018-03-30 02:19:24
29188,India,India,,,78.6677428,22.3511148,False,http://twitter.com/SarroccoSabrina/statuses/976761248946839552,2018-03-22 10:03:23
29240,India,India,,,78.6677428,22.3511148,False,http://twitter.com/sonababai/statuses/975434311460569088,2018-03-18 18:10:37
29257,Éire / Ireland,Éire / Ireland,,,-7.9794599,52.865196,False,http://twitter.com/WesternAU_AU101/statuses/975040550888853504,2018-03-17 16:05:57
29831,India,India,,,78.6677428,22.3511148,False,http://twitter.com/PhytophthoraIND/statuses/973544483831689216,2018-03-13 13:01:07
30783,বাংলাদেশ,বাংলাদেশ,,,90.2934413,24.4769288,False,http://twitter.com/2blades/statuses/953687128176779264,2018-01-17 17:55:04
30859,বাংলাদেশ,বাংলাদেশ,,,90.2934413,24.4769288,False,http://twitter.com/g_orl/statuses/951335028218318848,2018-01-11 06:08:40
30951,"রংপুর বিভাগ, বাংলাদেশ",বাংলাদেশ,রংপুর বিভাগ,,89.0826381,25.6376135,False,http://twitter.com/febdonline/statuses/948890554074451970,2018-01-04 12:15:12
31195,中国,中国,,,104.999927,35.000074,False,http://twitter.com/BenoitGeorges/statuses/939874071680094213,2017-12-10 15:06:55
31703,United Kingdom,United Kingdom,,,-3.2765753,54.7023545,False,http://twitter.com/ProMED_mail/statuses/924809546241073152,2017-10-30 01:25:52
32348,Uganda,Uganda,,,32.2166578,1.5333554,False,http://twitter.com/AgBioWorld/statuses/909058376503562241,2017-09-16 14:16:21
32399,"Kenosha County, Wisconsin, United States",United States,Wisconsin,,-88.0679837,42.5729233,True,http://twitter.com/KenoshaCounty/statuses/907249694232993792,2017-09-11 14:29:17
32454,"Kenosha County, Wisconsin, United States",United States,Wisconsin,,-88.0679837,42.5729233,True,http://twitter.com/UWExtensionANRE/statuses/905090148676796416,2017-09-05 15:28:01
32598,Guatemala,Guatemala,,,-90.345759,15.5855545,False,http://twitter.com/TitoLivioZuniga/statuses/901044393251135492,2017-08-25 11:31:38
32636,"Broome County, New York, United States",United States,New York,,-75.8404114,42.1455623,True,http://twitter.com/CCEBroome/statuses/900375645942816768,2017-08-23 15:14:16
32784,"Massachusetts, United States",United States,Massachusetts,,-72.032366,42.3788774,False,http://twitter.com/CNS_UMass/statuses/897154824088825856,2017-08-14 17:55:53
32791,"Massachusetts, United States",United States,Massachusetts,,-72.032366,42.3788774,False,http://twitter.com/2blades/statuses/896857196050382857,2017-08-13 22:13:12
32807,"Massachusetts, United States",United States,Massachusetts,,-72.032366,42.3788774,False,http://twitter.com/Yardstead/statuses/896129107452248066,2017-08-11 22:00:03
32808,"Massachusetts, United States",United States,Massachusetts,,-72.032366,42.3788774,False,http://twitter.com/cfgrower/statuses/896102177252364288,2017-08-11 20:13:02
